state,account_length,area_code,phone_number,intl_plan,voice_mail_plan,total_day_calls,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
FL,147,415, 396-5800,no,no,117,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False
CO,77,408, 393-7984,no,no,89,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True
AZ,130,415, 358-1958,no,no,112,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False
SC,111,415, 350-2565,no,no,103,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False
VA,132,510, 343-4696,no,no,86,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False
NE,174,415, 331-3698,no,no,76,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False
WY,57,408, 357-3817,no,yes,115,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False
MT,54,408, 418-6412,no,no,73,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False
MO,20,415, 353-2630,no,no,109,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False
HI,49,510, 410-7789,no,no,117,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False
IL,142,415, 416-8428,no,no,95,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False
NH,75,510, 370-3359,no,no,105,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False
LA,172,408, 383-1121,no,no,121,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False
AZ,12,408, 360-1596,no,no,118,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True
OK,57,408, 395-2854,no,yes,94,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False
GA,72,415, 362-1407,no,yes,80,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False
AK,36,408, 341-9764,no,yes,128,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False
MA,78,415, 353-3305,no,no,64,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False
AK,136,415, 402-1381,yes,yes,106,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False
NJ,149,408, 332-9891,no,no,94,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False
GA,98,408, 372-9976,no,no,102,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False
MD,135,408, 383-6029,yes,yes,85,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True
AR,34,510, 353-7289,no,no,82,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False
ID,160,415, 390-7274,no,no,77,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False
WI,64,510, 352-1237,no,no,67,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False
OR,59,408, 353-3061,no,yes,97,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False
MI,65,415, 363-5450,no,no,120,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False
DE,142,408, 364-1995,no,no,133,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False
ID,119,415, 398-1294,no,no,114,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True
WY,97,415, 405-7146,no,yes,135,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False
IA,52,408, 413-4957,no,no,108,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False
IN,60,408, 420-5645,no,no,57,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False
VA,10,408, 349-4396,no,no,112,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False
UT,96,415, 404-3211,no,no,117,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False
WY,87,415, 353-3759,no,no,83,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True
IN,81,408, 363-5947,no,no,67,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False
CO,141,415, 340-5121,no,no,98,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False
CO,121,408, 370-7574,no,yes,129,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True
WI,68,415, 403-9733,no,no,70,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False
OK,125,408, 355-7251,no,no,103,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False
ID,174,408, 359-5893,no,no,97,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False
CA,116,415, 405-3371,no,yes,83,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False
MN,74,510, 344-5117,no,yes,91,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False
SD,149,408, 332-8160,no,yes,92,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False
NC,38,408, 359-4081,no,no,98,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False
WA,40,415, 352-8305,no,yes,74,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False
WY,43,415, 329-9847,yes,no,105,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False
MN,113,408, 365-9011,yes,no,93,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False
UT,126,408, 338-9472,no,no,70,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False
TX,150,510, 374-8042,no,no,101,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True
NJ,138,408, 359-1231,no,no,93,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False
MN,162,510, 413-7170,no,yes,97,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False
NM,147,510, 415-2935,no,no,83,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False
NV,90,415, 399-4246,no,no,146,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False
HI,85,415, 362-5889,no,no,109,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False
MN,50,415, 350-8921,no,no,90,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False
DC,82,415, 374-5353,no,no,109,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True
NY,144,408, 360-1171,no,no,117,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True
MN,46,415, 355-8887,no,no,72,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False
MD,70,408, 333-1967,no,no,98,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False
WV,144,415, 354-4577,no,no,99,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False
OR,116,415, 331-7425,yes,no,104,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False
CO,55,408, 419-2637,no,yes,123,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False
GA,70,415, 411-1530,no,yes,101,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False
TX,106,510, 395-3026,no,no,96,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True
VT,128,510, 388-6441,no,yes,104,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False
IN,94,408, 402-1251,no,no,105,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True
WV,111,510, 412-9997,no,no,118,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False
KY,74,415, 346-7302,no,yes,104,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False
NJ,128,415, 358-9095,no,no,125,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True
DC,82,510, 400-9770,no,no,61,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False
LA,155,415, 334-1275,no,no,100,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True
AR,80,415, 340-4953,no,no,100,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False
ME,78,415, 400-9510,no,no,93,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False
AZ,90,415, 387-6103,no,no,71,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False
AK,104,408, 366-4467,no,no,106,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False
MT,73,415, 370-3450,no,no,110,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False
AZ,99,415, 327-3954,no,no,87,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False
MS,120,408, 355-6291,no,no,131,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True
ID,77,415, 362-9748,no,no,72,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True
IA,98,510, 379-6506,no,yes,114,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False
MA,108,415, 347-7741,no,no,137,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False
VT,135,415, 354-3783,no,no,82,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False
KY,95,408, 401-7594,no,no,99,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False
IN,122,408, 397-4976,no,no,94,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False
AZ,95,408, 334-2577,no,no,65,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False
MI,36,510, 400-3637,no,yes,102,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False
NM,93,510, 383-4361,no,yes,131,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False
CO,141,415, 371-4306,no,yes,91,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False
UT,157,408, 403-4298,no,no,90,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False
MI,120,408, 409-3786,no,no,100,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False
MA,103,415, 337-4697,no,no,117,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False
AL,98,408, 383-1509,no,no,117,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False
DE,125,408, 359-9794,no,no,108,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False
AZ,63,415, 407-7035,no,no,125,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False
ME,36,510, 363-1069,yes,yes,89,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True
NJ,64,510, 391-4652,no,no,83,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False
NV,74,415, 355-6837,no,no,114,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True
MO,112,510, 409-1244,no,yes,117,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False
ID,97,408, 328-3266,no,no,125,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False
NE,46,408, 352-7072,no,no,92,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False
TX,41,408, 370-7550,no,yes,102,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False
MD,121,510, 369-5526,no,no,103,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False
MS,193,415, 329-4391,no,no,124,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False
NV,130,510, 408-4195,no,no,119,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False
AZ,85,408, 354-4445,no,no,52,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False
MS,162,415, 335-4858,no,no,108,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True
MS,61,510, 414-8718,no,yes,124,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True
TX,92,408, 409-5939,no,no,90,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False
NE,131,408, 331-4902,no,yes,115,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False
NE,90,415, 353-6870,no,no,92,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False
CA,75,408, 355-2909,no,no,125,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False
NJ,78,415, 390-6101,no,no,115,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False
TX,82,408, 400-3446,no,no,96,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False
AR,163,408, 411-5859,no,no,109,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False
AL,91,510, 387-2919,yes,no,112,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False
NY,75,415, 374-8525,no,yes,97,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False
FL,91,510, 379-5592,no,no,106,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False
AK,127,510, 345-8237,no,yes,117,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False
NV,113,415, 422-6690,no,yes,101,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False
DE,110,510, 346-2359,no,no,115,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False
MD,120,415, 374-3534,no,yes,68,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False
MI,157,415, 381-4756,no,yes,107,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False
VT,103,510, 390-2805,no,no,47,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False
VT,117,408, 390-2390,yes,no,86,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True
MI,140,415, 419-9097,no,no,101,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False
WA,127,408, 386-7281,no,no,91,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False
UT,83,408, 380-3561,yes,no,87,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False
LA,121,408, 390-8760,no,no,121,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False
RI,145,408, 366-6730,no,yes,97,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False
IA,113,408, 395-5285,no,no,99,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False
NE,117,415, 354-3436,no,no,119,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False
OH,65,408, 336-7600,no,no,116,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False
RI,56,415, 383-6293,no,no,112,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False
OK,96,415, 362-4596,no,no,115,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False
LA,151,408, 401-3926,no,no,116,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False
OH,83,415, 370-9116,no,no,120,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True
VA,139,510, 328-6289,no,yes,129,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False
MO,6,510, 350-9994,no,no,117,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False
FL,115,510, 351-4616,no,yes,124,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False
SC,87,415, 360-5779,no,no,97,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False
VA,141,415, 417-4885,no,no,110,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False
IA,141,510, 406-4710,no,yes,99,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False
MI,62,415, 409-8743,no,no,103,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False
OK,146,415, 335-4584,no,no,151,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False
DE,92,415, 361-9845,no,yes,92,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False
GA,185,510, 366-5699,no,yes,126,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False
DC,148,415, 329-9364,no,no,102,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False
AZ,94,408, 390-7434,no,yes,124,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False
AL,32,510, 404-9680,no,no,87,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False
CO,68,408, 338-9398,no,no,105,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,False
NH,64,408, 394-2445,no,yes,91,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False
NM,25,415, 381-2709,no,no,87,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False
OR,65,415, 397-5060,no,no,87,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False
LA,179,408, 415-2393,no,no,92,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,False
NE,94,415, 377-1765,no,no,104,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,False
MN,62,415, 409-2111,no,no,91,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,False
MI,127,415, 401-3170,no,no,103,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False
AR,116,408, 405-5681,no,no,93,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,False
KS,70,408, 411-4582,no,no,122,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,False
WV,94,510, 355-5009,yes,yes,125,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,False
AK,126,415, 372-3750,no,no,94,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,True
NY,67,408, 405-2888,no,yes,111,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,False
NH,19,408, 361-3337,no,no,98,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,False
VA,170,510, 350-1639,yes,no,68,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,False
NM,73,415, 333-3221,no,no,145,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,False
NY,106,408, 422-1471,no,no,74,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,False
AZ,93,415, 399-7865,no,no,71,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False
WY,164,510, 373-4819,no,no,111,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,False
WA,51,408, 338-6981,no,no,109,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,False
CO,107,415, 418-4365,no,no,85,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,False
TX,130,415, 359-5461,no,no,109,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1,False
KY,80,408, 375-3586,no,no,74,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,False
MT,94,415, 407-8376,no,no,118,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0,False
OK,118,408, 408-6496,no,yes,52,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,False
MD,117,415, 385-7688,no,yes,86,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84,1,False
TN,78,415, 332-6934,no,no,119,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,False
TX,208,510, 378-3625,no,no,67,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True
ME,131,510, 353-7292,yes,yes,101,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,True
DC,63,408, 399-6786,no,no,64,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0,False
MN,53,415, 358-3261,no,yes,146,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,False
DE,62,408, 377-9932,no,no,101,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,False
MD,97,415, 397-4030,no,no,86,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73,3,False
MI,105,510, 367-1062,no,no,109,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,False
WA,157,415, 341-8467,no,no,105,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,False
MO,66,415, 339-9453,no,yes,76,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,False
IN,122,415, 344-3388,no,no,98,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False
OR,38,415, 375-8013,no,no,94,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,False
MD,106,510, 408-4142,no,no,95,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,False
RI,99,510, 386-3671,no,no,112,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,False
LA,99,415, 411-2284,no,no,72,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False
AZ,144,510, 346-7795,yes,no,100,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,False
PA,82,415, 333-5609,no,yes,131,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,False
AZ,86,408, 405-1842,no,yes,139,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,False
FL,70,510, 366-6345,yes,no,98,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,True
LA,93,415, 337-9345,no,no,93,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,False
FL,93,415, 328-6770,no,no,89,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,False
FL,120,415, 380-7321,no,no,80,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,False
MD,136,415, 375-1476,no,no,121,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,True
AL,106,415, 356-1567,no,no,121,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,False
WA,81,415, 422-6685,no,no,116,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,False
TN,127,408, 336-1090,no,yes,114,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,False
MS,65,415, 343-2095,no,no,112,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False
ME,35,408, 345-3934,no,no,113,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,False
OK,88,408, 338-8050,no,no,97,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2,False
IN,65,415, 388-9568,no,no,111,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False
MO,123,415, 402-6591,no,no,85,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,False
IA,126,408, 403-6419,no,yes,78,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,False
VA,104,415, 386-9790,no,yes,136,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,False
KY,45,415, 378-5692,no,yes,84,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False
MD,93,408, 360-3324,yes,no,109,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,True
OH,63,415, 410-3719,yes,yes,110,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,False
OK,100,415, 352-4221,no,no,96,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,False
NV,53,415, 327-6179,no,no,97,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,False
ID,92,415, 359-6196,yes,no,140,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,False
MN,139,510, 374-9107,no,no,106,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True
SD,110,408, 357-4078,no,yes,103,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,False
IL,110,408, 366-5780,no,no,117,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,False
WY,215,510, 393-9619,no,no,148,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False
AL,73,415, 355-9295,no,no,86,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,False
NJ,138,510, 400-5751,no,no,89,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,False
NV,137,415, 338-1027,yes,no,95,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True
IN,36,415, 405-8867,no,no,77,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,False
WV,85,408, 336-5616,no,no,81,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,False
VA,108,408, 335-1697,no,no,99,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,True
SC,22,408, 331-5138,no,no,107,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,False
RI,107,415, 385-8240,no,yes,102,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0,False
IN,51,510, 348-1359,no,no,94,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,False
AZ,94,408, 354-7339,no,no,85,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False
NM,119,510, 349-1687,no,yes,114,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False
OR,33,415, 380-2558,no,yes,99,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,True
NJ,106,415, 365-2153,no,no,91,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,False
MS,82,408, 345-6043,no,no,90,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,False
MI,86,510, 349-2808,no,yes,101,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False
TX,97,415, 411-1715,yes,no,117,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,False
FL,106,408, 385-2488,no,yes,126,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False
DC,108,510, 377-7177,no,no,122,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,False
